,Kitchen_waste_,Fruit_and_vegetable_waste_,Bread_Paste_,Waste_oil_,Total_Waste_,Diesel_waste_water_,Flour_and_waste_oil_,Kitchen_waste_paste_,1_acidification_hydrolysis_tank_feed_,1_acidification_hydrolysis_tank_discharge_,2_acidification_hydrolysis_tank_feed_,2_acidification_hydrolysis_tank_discharge_,1_Anaerobic_tank_slurry_feed_,1_Anaerobic_tank_biogas_cumulative_production_,1_anaerobic_tank_biogas_daily_output_,2_Anaerobic_tank_slurry_feed_,2_anaerobic_tank_biogas_cumulative_production_,2_anaerobic_tank_biogas_daily_output_,acid_feed,acid_discharge,anaerobic_feed,anaerobic_cumuprod,anaerobic_dailyoutput
417,66.93,61.11,0.0,14.17,128.04,0.0,0.0,165.0,165.0,210.0,0.0,0.0,105.0,1299363.0,3931.0,105.0,1597606.0,3482.0,165.0,210.0,210.0,2896969.0,7413.0
418,82.74,50.49,0.0,12.0,133.23,22.0,22.0,0.0,0.0,220.0,0.0,0.0,110.0,1303062.0,3699.0,110.0,1601082.0,3175.0,0.0,220.0,220.0,2904144.0,6874.0
419,76.87,36.77,0.0,7.52,113.64,0.0,0.0,145.0,145.0,210.0,0.0,0.0,105.0,1306003.0,2941.0,105.0,1604195.0,3113.0,145.0,210.0,210.0,2910198.0,6054.0
420,76.81,41.0,0.0,7.52,117.81,0.0,0.0,96.0,96.0,180.0,0.0,0.0,90.0,1308606.0,2603.0,90.0,1606867.0,2672.0,96.0,180.0,180.0,2915473.0,5275.0
421,43.61,35.19,0.0,4.78,78.8,22.0,0.0,79.0,79.0,250.0,0.0,0.0,125.0,1311866.0,3260.0,125.0,1610394.0,3527.0,79.0,250.0,250.0,2922260.0,6787.0
422,60.59,41.73,0.0,0.0,102.32,0.0,0.0,94.0,94.0,240.0,0.0,0.0,120.0,1314425.0,2559.0,120.0,1613167.0,2773.0,94.0,240.0,240.0,2927592.0,5332.0
423,26.61,26.07,0.0,0.0,52.68,0.0,0.0,92.0,92.0,250.0,0.0,0.0,125.0,1316168.0,1743.0,125.0,1615484.0,2317.0,92.0,250.0,250.0,2931652.0,4060.0
424,0.0,0.0,0.0,0.0,0.0,33.0,33.0,0.0,0.0,130.0,0.0,0.0,65.0,1317850.0,1682.0,65.0,1616971.0,1487.0,0.0,130.0,130.0,2934821.0,3169.0
425,46.5,0.0,0.0,0.0,46.5,44.0,22.0,0.0,0.0,60.0,0.0,0.0,30.0,1318945.0,1095.0,30.0,1618184.0,1213.0,0.0,60.0,60.0,2937129.0,2308.0
426,44.7,13.8,0.0,3.72,58.5,0.0,0.0,56.0,56.0,170.0,0.0,0.0,85.0,1320159.0,1214.0,85.0,1619988.0,1214.0,56.0,170.0,170.0,2940147.0,2428.0
427,47.35,24.49,0.0,0.97,71.84,0.0,0.0,27.0,27.0,170.0,0.0,0.0,85.0,1321537.0,1378.0,85.0,1620694.0,1298.0,27.0,170.0,170.0,2942231.0,2676.0
428,59.93,34.78,0.0,2.77,94.71,0.0,0.0,63.0,92.0,240.0,0.0,0.0,120.0,1322896.0,1359.0,120.0,1622285.0,1591.0,92.0,240.0,240.0,2945181.0,2950.0
429,52.89,34.76,0.0,4.0,87.65,0.0,0.0,56.0,57.0,240.0,0.0,0.0,120.0,1324211.0,1315.0,120.0,1623713.0,1428.0,57.0,240.0,240.0,2947924.0,2743.0
430,57.78,34.8,0.0,1.96,92.58,0.0,22.0,61.0,0.0,180.0,0.0,0.0,80.0,1325472.0,1261.0,100.0,1624881.0,1168.0,0.0,180.0,180.0,2950353.0,2429.0
431,117.53,32.9,0.0,3.94,150.43,0.0,0.0,119.0,0.0,210.0,0.0,0.0,105.0,1326952.0,1480.0,105.0,1626503.0,1622.0,0.0,210.0,210.0,2953455.0,3102.0
432,74.92,41.14,0.0,6.07,116.06,0.0,0.0,78.0,0.0,210.0,0.0,0.0,105.0,1328673.0,1721.0,105.0,1628144.0,1641.0,0.0,210.0,210.0,2956817.0,3362.0
433,125.22,34.19,0.0,3.13,159.41,88.0,0.0,127.0,0.0,260.0,0.0,0.0,130.0,1330555.0,1882.0,130.0,1630223.0,2079.0,0.0,260.0,260.0,2960778.0,3961.0
434,132.91,18.27,0.0,10.56,151.18,44.0,0.0,134.0,0.0,220.0,0.0,0.0,110.0,1333128.0,2573.0,110.0,1632334.0,2111.0,0.0,220.0,220.0,2965462.0,4684.0
435,139.21,25.69,0.0,10.57,164.9,55.0,0.0,140.0,0.0,220.0,0.0,0.0,110.0,1335841.0,2713.0,110.0,1634986.0,2652.0,0.0,220.0,220.0,2970827.0,5365.0
436,150.03,25.45,0.0,6.49,175.48,44.0,0.0,151.0,0.0,290.0,0.0,0.0,145.0,1339265.0,3424.0,145.0,1638153.0,3167.0,0.0,290.0,290.0,2977418.0,6591.0
437,144.28,49.36,0.0,10.04,193.64,44.0,0.0,145.0,0.0,240.0,0.0,0.0,120.0,1343006.0,3741.0,120.0,1642397.0,4244.0,0.0,240.0,240.0,2985403.0,7985.0
